open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_base_vol,taker_quote_vol,ignore,order_book
1704067200000,42283.58000000,42554.57000000,42261.02000000,42475.23000000,1271.68108000,1704070799999,53957248.97378900,47134,682.57581000,28957416.81964500,0
1704070800000,42475.23000000,42775.00000000,42431.65000000,42613.56000000,1196.37856000,1704074399999,50984893.34814160,50396,712.32227000,30355645.34827640,0
1704074400000,42613.57000000,42638.41000000,42500.00000000,42581.10000000,685.21980000,1704077999999,29167377.97323750,29863,288.98864000,12301017.29976200,0
1704078000000,42581.09000000,42586.64000000,42230.08000000,42330.49000000,794.80391000,1704081599999,33709050.27411360,38620,356.37209000,15112996.37584990,0
1704081600000,42330.50000000,42399.99000000,42209.46000000,42399.99000000,715.41760000,1704085199999,30271621.00073900,36038,371.12012000,15703618.93198530,0
1704085200000,42399.98000000,42406.00000000,42180.77000000,42234.01000000,736.53152000,1704088799999,31159533.47641020,32200,340.69312000,14414594.87094190,0
1704088800000,42234.01000000,42424.82000000,42208.68000000,42396.69000000,601.37250000,1704092399999,25454115.84474920,32653,348.73510000,14759685.25422020,0
1704092400000,42396.69000000,42500.00000000,42396.68000000,42492.46000000,653.67718000,1704095999999,27757929.58265320,27661,325.24438000,13809558.55814870,0
1704096000000,42492.46000000,42556.50000000,42452.58000000,42549.99000000,427.19365000,1704099599999,18158032.07134770,25046,202.66650000,8614418.42332190,0
1704099600000,42550.00000000,42699.32000000,42537.18000000,42649.69000000,879.62491000,1704103199999,37495909.15199460,39685,460.83221000,19643796.81806020,0
1704103200000,42649.69000000,42749.36000000,42628.00000000,42691.10000000,856.81851000,1704106799999,36575404.22777850,32952,458.26507000,19562257.29000650,0
1704106800000,42691.10000000,42762.39000000,42605.21000000,42690.20000000,785.16567000,1704110399999,33516541.81678610,39801,401.49317000,17138999.10082680,0
1704110400000,42690.21000000,42780.00000000,42611.45000000,42648.38000000,785.52851000,1704113999999,33542689.80296340,35778,363.27898000,15513372.62945690,0
1704114000000,42648.37000000,42748.00000000,42612.76000000,42715.54000000,497.20240000,1704117599999,21230655.25808760,29662,252.80525000,10794600.80038400,0
1704117600000,42715.54000000,42715.55000000,42580.00000000,42612.24000000,711.01152000,1704121199999,30312550.05451630,35688,369.47765000,15750630.37800590,0
1704121200000,42612.24000000,42847.07000000,42586.51000000,42783.05000000,942.70163000,1704124799999,40272827.06393290,47628,510.78905000,21818909.62366080,0
1704124800000,42783.05000000,42856.00000000,42664.42000000,42725.15000000,918.71056000,1704128399999,39292588.81942730,39979,449.47603000,19222594.94050820,0
1704128400000,42725.15000000,42824.90000000,42704.42000000,42812.70000000,677.33678000,1704131999999,28962179.52033760,29871,329.97146000,14108987.89340440,0
1704132000000,42812.71000000,43208.86000000,42812.70000000,43111.10000000,2143.30897000,1704135599999,92299025.19713260,93970,1193.23559000,51377573.06984710,0
1704135600000,43111.10000000,43550.00000000,43103.64000000,43517.99000000,1947.61533000,1704139199999,84416763.65405150,78415,1043.76600000,45242850.52732760,0
1704139200000,43517.98000000,43829.99000000,43510.71000000,43687.86000000,2905.07295000,1704142799999,126914170.38042870,88205,1586.93352000,69332665.63341800,0
1704142800000,43687.85000000,43792.59000000,43480.76000000,43619.21000000,1541.59126000,1704146399999,67281632.03490300,48994,737.28182000,32173665.29651550,0
1704146400000,43619.22000000,43661.10000000,43361.60000000,43529.93000000,1024.36372000,1704149999999,44554969.93258880,39588,482.27960000,20973587.99256800,0
1704150000000,43529.94000000,44184.10000000,43529.93000000,44179.55000000,3475.97051000,1704153599999,152707972.56789150,114796,2063.12837000,90668650.68437820,0
1704153600000,44179.55000000,45200.00000000,44148.34000000,45056.00000000,6986.25967000,1704157199999,311922306.38474120,252271,4339.23104000,193743218.94606880,0
1704157200000,45056.00000000,45372.79000000,44686.00000000,44855.96000000,4397.86376000,1704160799999,197892745.94853190,126411,2294.74090000,103268344.72856960,0
1704160800000,44855.96000000,45381.42000000,44855.95000000,45378.96000000,3016.04235000,1704164399999,136077337.26149300,84538,1685.63548000,76068066.05578530,0
