open_time,open,high,low,close,volume,quote_asset_volume,num_trades,taker_base_vol,taker_quote_vol,price_diff,price_change
2024-01-01,42283.58,44184.1,42180.77,44179.55,27174.299030000002,1169995682.0280013,1114623,14331.7318,617352094.5605195,2003.3300000000017,1895.9700000000012
2024-01-02,44179.55,45879.63,44148.34,44946.91,65146.40661,2944331821.8230762,2247532,33817.14447,1527964124.2375848,1731.2900000000009,767.3600000000006
2024-01-03,44946.91,45500.0,40750.0,42845.23,81194.55173,3507104563.744232,2658041,39103.99162,1687665202.9513144,4750.0,-2101.6800000000003
2024-01-04,42845.23,44729.58,42613.77,44151.1,48038.06334,2095095359.4936347,1819944,23605.90059,1030075267.839013,2115.810000000005,1305.8699999999953
2024-01-05,44151.1,44357.46,42450.0,44145.11,48075.25327,2100953924.3687155,2064845,24015.06426,1049655019.1400094,1907.4599999999991,-5.989999999997963
2024-01-06,44145.12,44214.42,43397.05,43968.32,17835.06144,781212883.4916061,956642,9048.57073,396341787.3638776,817.3699999999953,-176.8000000000029
2024-01-07,43968.32,44480.59,43572.09,43929.02,23023.8508,1014635096.1241481,1109259,11613.52347,511871007.52582633,908.5,-39.30000000000291
2024-01-08,43929.01,47248.99,43175.0,46951.04,72814.57589000001,3298772150.6815076,2364464,38728.8053,1755312207.6681833,4073.989999999998,3022.029999999999
2024-01-09,46951.04,47972.0,44748.67,46110.0,69927.66617,3251442072.8083963,2637745,34825.45429,1620151226.3362694,3223.3300000000017,-841.0400000000009
2024-01-10,46110.0,47695.93,44300.36,46653.99,89911.41203,4123809481.712767,3133588,46910.79439,2153126701.3521643,3395.5699999999997,543.989999999998
2024-01-11,46654.0,48969.48,45606.06,46339.16,87470.3296,4105139605.0283017,2998451,44076.1683,2070467939.6599925,3363.4200000000055,-314.8399999999965
2024-01-12,46339.16,46515.53,41500.0,42782.73,86327.93707,3827483735.5760565,2809192,41707.58066,1850840878.9778297,5015.529999999999,-3556.4300000000003
2024-01-13,42782.74,43257.0,42436.12,42847.99,36118.47464,1547370611.5531662,1434243,17748.09824,760432218.2454551,820.8799999999974,65.25
2024-01-14,42847.99,43079.0,41720.0,41732.35,28228.40894,1202212782.257693,1235727,13690.308430000001,583261659.738576,1359.0,-1115.6399999999994
2024-01-15,41732.35,43400.43,41718.05,42511.1,40269.89303,1718982911.1081028,1657611,19924.760299999998,849997411.087583,1682.3799999999974,778.75
2024-01-16,42511.1,43578.01,42050.0,43137.95,45045.74589,1931947150.05907,1716580,24064.55667,1031525441.9352084,1528.010000000002,626.8499999999985
2024-01-17,43137.94,43198.0,42200.69,42776.1,33266.213879999996,1419888430.9228892,1438172,16648.20529,710532768.0475779,997.3099999999977,-361.8400000000038
2024-01-18,42776.09,42930.0,40683.28,41327.5,43907.51641,1839426541.263579,1466087,21085.143360000002,883292634.2063637,2246.720000000001,-1448.5899999999965
2024-01-19,41327.51,42196.86,40280.0,41659.03,48342.74559,1993846466.5387518,1641428,24347.5002,1004478721.3792055,1916.8600000000006,331.5199999999968
2024-01-20,41659.03,41872.56,41456.3,41696.04,15923.99493,662768008.1509343,807324,7557.36632,314535141.9955636,416.25999999999476,37.01000000000204
2024-01-21,41696.05,41881.39,41500.98,41580.33,11730.16301,489151571.0309043,657817,5576.56045,232552207.1607329,380.4099999999962,-115.72000000000116
2024-01-22,41580.32,41689.65,39431.58,39568.02,55426.19911,2247452153.7954326,2147250,26788.13985,1086650848.0670526,2258.0699999999997,-2012.300000000003
2024-01-23,39568.02,40176.74,38555.0,39897.6,57956.63351,2275851990.6468267,2043925,30913.97177,1214417243.6964118,1621.739999999998,329.58000000000175
2024-01-24,39897.59,40555.0,39484.19,40084.88,39293.82861,1569704923.8307493,1675615,20673.057249999998,825887009.4744226,1070.8099999999977,187.29000000000087
2024-01-25,40084.89,40300.24,39550.0,39961.09,31022.11853,1238813296.1526136,1291233,15685.24919,626369240.3733964,750.239999999998,-123.80000000000291
2024-01-26,39961.09,42246.82,39822.52,41823.51,47384.96726,1951700659.2898068,1624861,24674.75551,1016105199.7171214,2424.300000000003,1862.4200000000055
2024-01-27,41823.51,42200.0,41394.34,42120.63,16224.41667,678418702.3509445,751148,7485.64978,312938659.2480243,805.6600000000035,297.11999999999534
2024-01-28,42120.63,42842.68,41620.81,42031.06,27294.99838,1154365891.6682587,1032493,12971.1882,548670338.639401,1221.8700000000026,-89.56999999999971
2024-01-29,42031.05,43333.0,41804.88,43302.7,31542.74207,1343462280.3618684,1197856,15996.886269999999,681504721.3585126,1528.1200000000026,1271.6499999999942
2024-01-30,43302.71,43882.36,42683.99,42941.1,37619.24546,1633251085.6713595,1316610,19317.29993,838876408.4556684,1198.3700000000026,-361.6100000000006
2024-01-31,42941.1,43745.11,42276.84,42580.0,39871.13688,1711665577.0530825,1499559,20289.94825,871009715.1702207,1468.270000000004,-361.09999999999854
2024-02-01,42580.0,43285.13,41884.28,43082.94,35231.04664,1497121440.6440022,1392269,18134.84304,770635549.4842126,1400.8499999999985,502.9400000000023
2024-02-02,43082.95,43488.0,42546.79,43200.0,29672.14418,1277919437.2905612,1086342,15645.5711,673834785.747791,941.2099999999991,117.05000000000291
2024-02-03,43199.99,43380.01,42880.0,43011.09,12033.40998,518775350.03360087,609962,5691.78572,245377398.5105957,500.01000000000204,-188.90000000000146
2024-02-04,43011.1,43119.04,42222.0,42582.88,17066.89404,730999557.7083682,931235,8427.12671,360928641.0597722,897.0400000000009,-428.22000000000116
2024-02-05,42582.88,43569.76,42258.1,42708.7,29467.75905,1262620640.5407174,1317397,14984.06962,642077579.5827268,1311.6600000000035,125.81999999999971
2024-02-06,42708.7,43399.98,42574.0,43098.95,24675.85433,1061049582.6002767,1120760,12810.98205,550866463.7409194,825.9800000000032,390.25
2024-02-07,43098.96,44396.5,42788.0,44349.6,34392.59915,1496013692.382922,1378809,17755.87738,772721372.4443885,1608.5,1250.6399999999994
2024-02-08,44349.6,45614.3,44331.1,45288.65,45439.62231,2042912128.1517665,1863650,22731.523970000002,1021963499.800335,1283.2000000000044,939.0500000000029
2024-02-09,45288.66,48200.0,45242.12,47132.77,73503.481,3453043306.420976,2323884,37360.96419,1754880225.38021,2957.8799999999974,1844.1099999999933
2024-02-10,47132.78,48170.0,46800.0,47751.09,24802.35936,1176079377.6922762,1323421,12740.69912,604397015.51796,1370.0,618.3099999999977
2024-02-11,47751.08,48592.66,47557.16,48299.99,29958.80837,1443314885.7714052,1407270,15741.38294,758411879.955689,1035.5,548.9099999999962
2024-02-12,48300.0,50334.82,47710.01,49917.27,59009.96705,2898220863.0181804,1939394,30797.43359,1512688561.6888657,2624.8099999999977,1617.2699999999968
2024-02-13,49917.28,50368.61,48300.95,49699.59,55551.56706,2745025370.067447,1741811,28409.79337,1403783512.6809905,2067.6600000000035,-217.69000000000233
2024-02-14,49699.6,52043.71,49225.01,51795.17,57046.37401,2919604456.723313,1859392,29664.5183,1518339681.334602,2818.699999999997,2095.5699999999997
2024-02-15,51795.17,52816.62,51314.0,51880.0,53816.03055,2802825737.9920154,1786569,26722.58656,1391971339.715806,1502.6200000000026,84.83000000000175
2024-02-16,51880.01,52572.08,51566.0,52124.11,37772.25318,1965003863.9713342,1583711,18309.89888,952708587.7324988,1006.0800000000017,244.09999999999854
2024-02-17,52124.1,52162.82,50625.0,51642.64,25674.00622,1319908544.979089,1427773,12655.51593,650426057.1976154,1537.8199999999997,-481.4599999999991
2024-02-18,51642.64,52377.0,51163.28,52137.67,21992.10363,1139209588.4334626,1375422,11281.34692,584447328.1142722,1213.7200000000012,495.02999999999884
2024-02-19,52137.68,52488.77,51677.0,51774.73,29534.994319999998,1539600521.6007729,1542990,15266.36204,795825023.6442236,811.7699999999968,-362.9499999999971
2024-02-20,51774.74,52985.0,50760.37,52258.82,49614.47318,2574874999.3787174,1971912,24994.25062,1297330385.0050933,2224.6299999999974,484.08000000000175
2024-02-21,52258.82,52366.8,50625.0,51849.39,43079.40049,2210278288.725095,1824860,22239.73293,1140905416.956252,1741.800000000003,-409.4300000000003
2024-02-22,51849.38,52065.78,50940.78,51288.42,35309.44574,1820949707.158534,1688184,17830.4673,919599483.9078617,1125.0,-560.9599999999991
2024-02-23,51288.42,51548.54,50521.0,50744.15,30545.79544,1559143576.8296163,1487039,14610.80906,745820955.2560463,1027.5400000000009,-544.2699999999968
2024-02-24,50744.15,51698.0,50585.0,51568.22,16560.4211,847793393.571868,855015,8462.15627,433239599.4239887,1113.0,824.0699999999997
2024-02-25,51568.21,51958.55,51279.8,51728.85,18721.63159,966951114.4504629,923992,9544.17672,492952522.6816389,678.75,160.63999999999942
2024-02-26,51728.85,54910.0,50901.44,54476.47,51256.72199,2710403072.980595,1808909,27198.83551,1438371804.1101012,4008.5599999999977,2747.6200000000026
2024-02-27,54476.48,57588.15,54450.13,57037.34,67194.98561999999,3795949115.2249312,2414285,34970.25885,1975472154.5115738,3138.020000000004,2560.8599999999933
2024-02-28,57037.35,64000.0,56691.85,62432.1,118763.46984,7162581994.48574,3895062,62066.63936,3742433894.945077,7308.1500000000015,5394.75
2024-02-29,62432.11,63676.35,60364.7,61130.98,78425.07603,4872212871.27608,3169405,39463.06931,2452515504.8686514,3311.6500000000015,-1301.1299999999974
2024-03-01,61130.99,63114.23,60777.0,62387.9,47737.93473,2956537377.9660296,1947444,24195.70252,1498771144.099956,2337.230000000003,1256.9100000000035
2024-03-02,62387.9,62433.19,61561.12,61987.28,25534.73659,1582566973.834093,1641808,12691.37721,786583052.0862726,872.0699999999997,-400.6200000000026
2024-03-03,61987.28,63231.88,61320.0,63113.97,28994.90903,1804536272.9443457,1992011,14905.186,927868983.7308431,1911.8799999999974,1126.6900000000023
2024-03-04,63113.97,68499.0,62300.0,68245.71,84835.16005,5568877537.081252,3887853,45319.0864,2974396037.6857204,6199.0,5131.740000000005
2024-03-05,68245.71,69000.0,59005.0,63724.01,132696.7813,8674526591.287142,5310706,65991.84526,4318205559.64365,9995.0,-4521.700000000004
2024-03-06,63724.01,67641.1,62779.14,66074.04,78738.85491,5197743036.597276,3302981,40344.32596,2663883160.206962,4861.960000000006,2350.0299999999916
2024-03-07,66074.04,67980.0,65551.0,66823.17,53059.8869,3548088039.2736087,2428227,27935.66302,1867854683.9820297,2429.0,749.1300000000047
2024-03-08,66823.18,69990.0,66082.66,68124.19,74261.932842,5044395324.399055,2943927,37711.514581,2563347797.5286803,3907.3399999999965,1301.0100000000093
2024-03-09,68124.2,68541.1,67861.1,68313.27,19872.89743,1355964036.9092987,1345341,10005.592,682720256.0028226,680.0,189.07000000000698
2024-03-10,68313.28,69887.61,68094.75,68955.88,38404.66835,2659307501.0945783,2139518,19188.79904,1328747995.9940255,1792.8600000000006,642.6000000000058
2024-03-11,68955.88,72800.0,67024.96,72078.1,75292.825726,5352704377.618805,3043414,39435.855459,2803359303.286973,5775.039999999994,3122.220000000001
2024-03-12,72078.1,73000.0,68620.82,71452.01,68783.546691,4909667978.559339,3047890,34517.212933,2465202174.407226,4379.179999999993,-626.0900000000111
2024-03-13,71452.0,73650.25,71333.31,73072.41,52659.711647000004,3829764501.253793,2501197,26787.082237,1948382241.8894603,2316.9400000000023,1620.4100000000035
2024-03-14,73072.4,73777.0,68555.0,71388.94,71757.628746,5132189849.096631,2994869,35676.748326,2552190396.8890066,5222.0,-1683.4599999999919
2024-03-15,71388.94,72419.71,65600.0,69499.85,103334.03546,7065279917.872111,3904445,49844.66515,3409385750.021177,6819.710000000006,-1889.0899999999965
2024-03-16,69499.84,70043.0,64780.0,65300.63,55926.95336,3788544202.8848557,2729019,27240.198940000002,1846731512.2736232,5263.0,-4199.209999999999
2024-03-17,65300.64,68904.4,64533.0,68393.48,49742.21589,3322963634.2425127,2449156,25328.29435,1692079618.2113106,4371.399999999994,3092.8399999999965
2024-03-18,68393.47,68956.0,66565.2,67609.99,55691.08088,3768277912.418918,2464515,28529.67219,1930726566.249246,2390.800000000003,-783.4799999999959
2024-03-19,67610.0,68124.11,61555.0,61937.4,101005.32487,6484805948.535393,3593832,48205.28434,3095258881.7022734,6569.110000000001,-5672.5999999999985
2024-03-20,61937.41,68100.0,60775.0,67840.51,90420.58592,5769770052.062583,3549793,45523.84281,2907222064.1312914,7325.0,5903.099999999991
2024-03-21,67840.51,68240.47,64529.01,65501.27,53357.48002,3551223142.964417,2388390,26650.097859999998,1774833851.2215245,3711.459999999999,-2339.239999999998
2024-03-22,65501.28,66649.62,62260.0,63796.64,51482.37821,3310481978.107645,2492881,24578.87957,1580940164.1212373,4389.619999999995,-1704.6399999999994
2024-03-23,63796.64,65999.0,63000.0,63990.01,26410.11409,1706152172.6316133,1753566,12749.00823,823892846.714977,2999.0,193.37000000000262
2024-03-24,63990.02,67628.69,63772.29,67209.99,31395.78015,2059312948.6486874,1880774,16689.656170000002,1095820626.0291996,3856.4000000000015,3219.9700000000084
2024-03-25,67210.0,71150.0,66385.06,69880.01,53431.14486,3679964073.8112125,2632220,27815.58769,1915614174.2397635,4764.940000000002,2670.0099999999948
2024-03-26,69880.0,71561.1,69280.0,69988.0,38934.38417,2738537345.3358803,2176807,19498.85666,1371708206.538872,2281.100000000006,108.0
2024-03-27,69987.99,71769.54,68359.18,69469.99,49119.35685,3426458581.9433436,2453366,24902.3347,1737325915.834418,3410.3600000000006,-518.0
2024-03-28,69469.99,71552.06,68903.62,70780.6,35439.03239,2500571208.002628,1799897,18007.26883,1270852446.707745,2648.4400000000023,1310.6100000000006
2024-03-29,70780.6,70916.16,69009.0,69850.54,25445.08353,1779608477.3224537,1522607,11839.0929,828039936.6854533,1907.1600000000035,-930.0600000000122
2024-03-30,69850.53,70321.1,69540.0,69582.18,13644.61142,954555919.6855745,1110488,6423.89367,449436189.73361903,781.1000000000058,-268.3500000000058
2024-03-31,69582.17,71366.0,69562.99,71280.01,19396.34433,1367523707.261245,1181926,10142.47988,715151368.9463022,1803.0099999999948,1697.8399999999965
2024-04-01,71280.0,71288.23,68062.86,69649.8,41445.32039,2876486469.465523,1893438,20211.15024,1402849944.782289,3225.3699999999953,-1630.199999999997
2024-04-02,69649.81,69674.23,64550.0,65463.99,71799.82793,4750030717.922425,2662410,35520.17401,2348263612.3034706,5124.229999999996,-4185.82
2024-04-03,65463.99,66903.63,64493.07,65963.28,39887.21778,2630556596.1359286,2172096,20618.58747,1360363531.1659517,2410.560000000005,499.2900000000009
2024-04-04,65963.27,69309.91,65064.52,68487.79,41510.48453,2795469450.572386,2000945,21013.32173,1415699952.0381584,4245.390000000007,2524.5199999999895
2024-04-05,68487.8,68756.67,65952.56,67820.62,37915.23073,2555458935.2360086,1901980,18889.98453,1273220222.7625887,2804.1100000000006,-667.1800000000076
2024-04-06,67820.63,69692.0,67447.83,68896.0,20134.28919,1373131967.7648187,1171460,9973.86412,680800856.2096505,2244.1699999999983,1075.3699999999953
2024-04-07,68896.0,70326.29,68824.0,69360.39,21534.74433,1496213373.1855776,1269048,11149.90398,774906774.5282812,1502.2899999999936,464.3899999999994
2024-04-08,69360.38,72797.99,69043.24,71620.0,45723.87624,3270853309.6629424,2037025,25309.904870000002,1811209901.716354,3754.75,2259.6199999999953
2024-04-09,71620.0,71758.19,68210.0,69146.0,39293.90242,2749007421.6421075,1804157,18896.53756,1321865585.2380521,3548.1900000000023,-2474.0
2024-04-10,69146.0,71172.08,67518.0,70631.08,42006.02377,2901564970.815804,1852170,20269.34809,1401023003.7318227,3654.0800000000017,1485.0800000000017
2024-04-11,70631.08,71305.89,69567.21,70006.23,31917.25595,2247473274.616258,1658995,15908.49124,1120249990.7357526,1738.679999999993,-624.8500000000058
2024-04-12,70006.22,71227.46,65086.86,67116.52,56072.862290000005,3843551585.3212748,2496617,25935.86464,1777808491.1704543,6140.600000000006,-2889.699999999997
2024-04-13,67116.52,67929.0,60660.57,63924.51,71395.22019,4614468627.809045,3341340,33221.669499999996,2144846149.680918,7268.43,-3192.010000000002
2024-04-14,63924.52,65840.0,62134.0,65661.84,61599.17818,3946124834.6970353,2657953,29732.29634,1904847012.5093086,3706.0,1737.3199999999997
2024-04-15,65661.85,66867.07,62274.4,63419.99,52389.53069,3398072231.5612235,2539048,25206.680080000002,1634572976.9398127,4592.6700000000055,-2241.860000000008
2024-04-16,63419.99,64365.0,61600.0,63793.39,53435.29331,3355338198.4469132,2604354,26041.2664,1635683129.3076532,2765.0,373.40000000000146
2024-04-17,63793.4,64499.0,59678.16,61277.37,50610.54509,3128625247.4738536,2458327,24346.74671,1506361259.7013583,4820.8399999999965,-2516.029999999999
2024-04-18,61277.38,64117.09,60803.35,63470.08,43601.60918,2726741448.886802,2142511,20870.20705,1305027167.9395082,3313.739999999998,2192.7000000000044
2024-04-19,63470.09,65450.0,59600.01,63818.01,69774.30271,4419893235.183288,2828284,34941.502160000004,2214809735.2402415,5849.989999999998,347.92000000000553
2024-04-20,63818.01,65419.0,63090.07,64940.59,23137.42975,1486949581.439479,1376712,11811.8444,759077474.2972904,2328.9300000000003,1122.5799999999945
2024-04-21,64940.58,65695.56,64237.5,64941.15,19316.42152,1254396628.1531765,1390153,9734.71767,632257865.0082499,1458.0599999999977,0.569999999999709
2024-04-22,64941.15,67232.35,64500.0,66819.32,31397.99371,2071690434.976552,1816591,16466.05497,1086399264.6092272,2732.350000000006,1878.1700000000055
2024-04-23,66819.32,67183.01,65765.81,66414.0,22599.90004,1502139968.7198818,1433915,10854.17402,721404825.847041,1417.199999999997,-405.320000000007
2024-04-24,66414.0,67070.43,63606.06,64289.59,33595.69637,2195714861.6576557,1784897,16899.50969,1104368114.1058698,3464.3699999999953,-2124.4100000000035
2024-04-25,64289.58,65297.94,62794.0,64498.34,31341.46338,2007704069.2622728,1375324,14808.62959,948738136.268438,2503.9400000000023,208.75999999999476
2024-04-26,64498.33,64820.01,63297.48,63770.01,27085.19346,1736631357.3537388,1025561,13570.23647,870093757.518899,1522.5299999999988,-728.3199999999997
2024-04-27,63770.0,63923.41,62391.24,63461.98,20933.06052,1320337707.7871158,912422,9903.95325,624733409.2112879,1532.1700000000055,-308.0199999999968
2024-04-28,63461.98,64370.0,62781.0,63118.62,16949.20005,1078450016.4732296,790652,7941.33811,505261267.5695052,1589.0,-343.3600000000006
2024-04-29,63118.62,64228.35,61765.53,63866.0,28150.22947,1765038324.6837213,1152296,13986.59437,877053322.3079969,2462.8199999999997,747.3799999999974
2024-04-30,63866.0,64734.0,59191.6,60672.0,54947.65535,3372142467.4322524,1985671,26385.41614,1620421850.578699,5542.4000000000015,-3194.0
2024-05-01,60672.01,60841.63,56552.82,58364.97,81166.46823,4705572361.7402,2401089,38203.57377,2213404278.5900106,4288.809999999998,-2307.040000000001
2024-05-02,58364.97,59625.0,56911.84,59060.61,47583.81961,2778840305.0505786,1572898,23240.753699999997,1356148775.8867366,2713.1600000000035,695.6399999999994
2024-05-03,59060.6,63333.0,58811.32,62882.01,43628.40143,2658193708.347904,1558661,22145.44334,1349687455.5957608,4521.68,3821.4100000000035
2024-05-04,62882.01,64540.0,62541.03,63892.04,24368.69282,1547468697.8765798,1113509,12671.20599,804768764.3062501,1998.9700000000012,1010.0299999999988
2024-05-05,63892.03,64646.0,62822.17,64012.0,18526.75029,1182572239.5306182,992921,8954.93439,571783428.2394707,1823.8300000000017,119.97000000000116
2024-05-06,64012.0,65500.0,62700.0,63165.19,34674.91949,2218131198.4661326,1392557,17179.56031,1099303474.2805216,2800.0,-846.8099999999977
2024-05-07,63165.18,64422.41,62261.0,62312.08,25598.794719999998,1624531631.592377,1272898,12502.382810000001,793575994.2141025,2161.4100000000035,-853.0999999999985
2024-05-08,62312.07,63020.22,60888.0,61193.03,26121.19004,1623561041.1255188,1415152,12669.58179,787749415.5480814,2132.220000000001,-1119.0400000000009
2024-05-09,61193.03,63429.03,60630.0,63074.01,30660.806099999998,1895849912.7734754,1381957,15120.01471,935341755.6782354,2799.029999999999,1880.9800000000032
2024-05-10,63074.0,63469.13,60187.12,60799.99,36529.34025,2255550468.413852,1500643,18066.83174,1116494638.2804892,3282.0099999999948,-2274.010000000002
2024-05-11,60799.99,61515.0,60487.09,60825.99,13374.56936,814928013.4573288,753281,6223.09555,379263096.215133,1027.9100000000035,26.0
2024-05-12,60825.99,61888.0,60610.0,61483.99,12753.13236,781041632.4623835,727113,6416.91108,393132351.8883925,1278.0,658.0
2024-05-13,61484.0,63450.0,60749.21,62940.08,32733.418390000003,2041896626.6108146,1371433,16717.90863,1043060982.3574601,2700.790000000001,1456.0800000000017
2024-05-14,62940.09,63118.36,61142.77,61577.49,29088.720409999998,1800171876.1676655,1127939,13815.81443,855088066.212488,1975.5900000000038,-1362.5999999999985
2024-05-15,61577.49,66444.16,61319.47,66206.5,43559.74719,2794259631.8910465,1729454,21797.84094,1398781701.4413886,5124.690000000002,4629.010000000002
2024-05-16,66206.51,66752.01,65652.92,66054.88,16478.85582,1089672980.4186146,712344,8291.96849,548345868.3614126,1099.0899999999965,-151.6299999999901
